,date,일누적 자외선 A(MJ/m2),일최대 자외선 B(W/m2 ),평균 오존전량(DU),미세머지_10,미세머지_11,미세머지_12,미세머지_13,미세머지_14,운량_10,운량_11,운량_12,운량_13,운량_14,총자외선지수 일최고값
178,2012-06-27,1.45,0.244,-999.0,11.0,11.0,10.0,14.0,18.0,5.0,3.0,5.0,6.0,5.0,11.2
179,2012-06-28,1.17,0.302,-999.0,14.0,21.0,16.0,14.0,17.0,8.0,8.0,8.0,8.0,8.0,13.4
180,2012-06-29,0.86,0.216,-999.0,35.0,40.0,18.0,15.0,24.0,8.0,8.0,8.0,8.0,10.0,9.8
181,2012-06-30,0.29,0.137,-999.0,-999.0,-999.0,-999.0,6.0,-999.0,10.0,10.0,10.0,10.0,10.0,4.7
182,2012-07-01,1.27,0.301,-999.0,34.0,42.0,67.0,72.0,78.0,10.0,10.0,8.0,8.0,7.0,13.3
183,2012-07-02,1.25,0.277,-999.0,18.0,17.0,15.0,12.0,15.0,7.0,6.0,5.0,6.0,9.0,12.7
184,2012-07-03,0.77,0.205,-999.0,7.0,-999.0,7.0,9.0,10.0,6.0,7.0,7.0,7.0,7.0,9.4
185,2012-07-04,0.66,0.162,-999.0,28.0,30.0,26.0,22.0,18.0,10.0,10.0,10.0,10.0,8.0,7.4
186,2012-07-05,0.4,0.121,-999.0,16.0,20.0,12.0,8.0,-999.0,10.0,10.0,10.0,10.0,10.0,5.4
187,2012-07-06,0.42,0.168,-999.0,8.0,20.0,13.0,16.0,18.0,10.0,10.0,10.0,10.0,10.0,7.6
188,2012-07-07,1.41,0.248,-999.0,24.0,22.0,24.0,26.0,32.0,0.0,0.0,0.0,2.0,0.0,11.4
189,2012-07-08,1.48,0.247,-999.0,29.0,21.0,20.0,23.0,19.0,8.0,7.0,7.0,5.0,5.0,11.3
190,2012-07-09,1.19,0.246,-999.0,14.0,19.0,25.0,33.0,23.0,8.0,7.0,6.0,7.0,4.0,11.3
191,2012-07-10,0.43,0.097,-999.0,52.0,41.0,48.0,51.0,49.0,9.0,9.0,10.0,10.0,10.0,4.5
192,2012-07-11,0.83,0.224,-999.0,26.0,27.0,33.0,41.0,43.0,10.0,10.0,10.0,10.0,10.0,9.6
193,2012-07-12,0.8,0.19,-999.0,21.0,17.0,22.0,18.0,35.0,10.0,7.0,8.0,7.0,8.0,8.7
194,2012-07-13,0.69,0.16,-999.0,19.0,17.0,37.0,40.0,42.0,8.0,9.0,10.0,10.0,10.0,7.3
195,2012-07-14,0.62,0.145,-999.0,44.0,40.0,37.0,32.0,29.0,10.0,10.0,10.0,10.0,10.0,6.6
196,2012-07-15,0.63,0.191,-999.0,15.0,18.0,10.0,14.0,13.0,10.0,10.0,10.0,10.0,10.0,8.8
197,2012-07-16,1.0,0.222,-999.0,7.0,-999.0,13.0,8.0,11.0,10.0,9.0,8.0,7.0,6.0,10.1
198,2012-07-17,0.44,0.108,-999.0,28.0,24.0,35.0,24.0,31.0,10.0,10.0,10.0,10.0,10.0,4.9
199,2012-07-18,0.69,0.309,-999.0,15.0,13.0,17.0,18.0,23.0,9.0,8.0,10.0,10.0,10.0,13.9
